Player,Team,Class,Position,Games,PassAtt,PassCom,Int,PassYDS,PassTD,PassEFF
Jayden Daniels,LSU,Sr.,QB,12,327,236,4,3812,40,208.01
Bo Nix,Oregon,Sr.,QB,13,435,336,3,4145,40,186.25
Kaidon Salter,Liberty,So.,QB,13,266,162,5,2750,31,182.44
Jalen Milroe,Alabama,So.,QB,12,261,171,6,2718,23,177.48
Dillon Gabriel,Oklahoma,Sr.,QB,12,384,266,6,3660,30,171.99
J.J. McCarthy,Michigan,Jr.,QB,13,287,213,4,2630,19,170.25
Caleb Williams,Southern California,Jr.,QB,12,388,266,5,3633,30,170.15
Noah Fifita,Arizona,So.,QB,11,295,217,5,2515,23,167.51
Carson Beck,Georgia,Jr.,QB,13,399,289,6,3738,22,166.31
Quinn Ewers,Texas,So.,QB,11,351,248,6,3161,21,162.63
Jason Bean,Kansas,Sr.,QB,11,171,105,4,1681,12,162.46
Jaxson Dart,Ole Miss,Jr.,QB,12,318,208,5,2985,20,161.87
Kyle McCord,Ohio St.,Jr.,QB,12,348,229,6,3170,24,161.63
Michael Penix Jr,Washington,Sr.,QB,13,466,307,9,4218,33,161.42
Preston Stone,SMU,So.,QB,12,344,206,6,3197,28,161.32
Sam Hartman,Notre Dame,Sr.,QB,12,301,191,8,2689,24,159.49
Michael Pratt,Tulane,Sr.,QB,11,283,185,5,2406,22,158.91
Cooper Legas,Utah St.,Sr.,QB,9,213,138,8,1815,19,158.29
Brady Cook,Missouri,Sr.,QB,12,351,233,6,3189,20,158.08
Graham Mertz,Florida,Jr.,QB,11,358,261,3,2903,20,157.78
TJ Finley,Texas St.,So.,QB,12,385,264,8,3287,24,156.70
Jacob Zeno,UAB,Jr.,QB,11,379,279,9,3126,20,155.56
Jordan Travis,Florida St.,Sr.,QB,11,324,207,2,2756,20,154.48
JT Daniels,Rice,Sr.,QB,9,287,181,7,2443,21,153.84
John Rhys Plumlee,UCF,Sr.,QB,9,227,145,8,2073,13,152.44
Shedeur Sanders,Colorado,Jr.,QB,11,430,298,3,3230,27,151.73
Joey Aguilar,App State,Jr.,QB,14,461,294,10,3757,33,151.52
Carter Bradley,South Alabama,Sr.,QB,11,326,221,7,2660,19,151.27
Dequan Finn,Toledo,Jr.,QB,13,317,201,9,2657,22,151.04
Gunnar Watson,Troy,Sr.,QB,13,403,247,5,3339,27,150.52
Seth Henigan,Memphis,Jr.,QB,12,442,294,9,3519,28,150.23
Chandler Rogers,North Texas,Jr.,QB,12,421,262,5,3382,29,150.07
Jaylen Raynor,Arkansas St.,Fr.,QB,10,255,150,6,2300,15,149.29
Drake Maye,North Carolina,So.,QB,12,425,269,9,3608,24,149.01
Spencer Rattler,South Carolina,Sr.,QB,12,399,275,8,3186,19,147.70
Andrew Peasley,Wyoming,Sr.,QB,11,241,146,5,1823,20,147.36
Joe Milton III,Tennessee,Sr.,QB,12,354,229,5,2813,20,147.26
Diego Pavia,New Mexico St.,Sr.,QB,15,366,221,9,2973,26,147.14
Rocco Becht,Iowa St.,Fr.,QB,12,329,209,8,2674,20,147.00
Jayden Maiava,UNLV,Fr.,QB,13,318,200,8,2794,14,146.19
Tyler Van Dyke,Miami (FL),Jr.,QB,11,333,219,12,2703,19,145.57
Cameron Ward,Washington St.,Jr.,QB,12,485,323,7,3736,25,145.43
Jack Plummer,Louisville,Sr.,QB,13,370,235,12,3063,21,145.30
Taulia Tagovailoa,Maryland,Sr.,QB,12,437,290,11,3377,25,145.12
DJ Uiagalelei,Oregon St.,Jr.,QB,12,315,180,7,2638,21,145.05
Chevan Cordeiro,San Jose St.,Sr.,QB,12,332,207,4,2558,19,143.55
Garrett Shrader,Syracuse,Sr.,QB,11,214,134,6,1686,13,143.24
Haynes King,Georgia Tech,So.,QB,12,354,219,15,2755,26,143.00
Byrum Brown,South Fla.,So.,QB,12,401,257,11,3078,23,142.01
Garrett Greene,West Virginia,Jr.,QB,11,254,135,4,2178,15,141.52


