Player,Team,PassCom,PassAtt,PassYDS,PassTD,Int,PassEFF
Bryce Young,Alabama,366,547,4872,47,7,167.52
Joe Burrow,LSU,402,527,5671,60,6,201.96
Kyler Murray,Oklahoma,260,377,4361,42,7,199.18
Baker Mayfield,Oklahoma,285,404,4627,43,6,198.90
Lamar Jackson,Louisville,230,409,3543,30,9,148.80
Marcus Mariota,Oregon,304,445,4454,42,4,181.73
Jameis Winston,Florida State,257,384,4057,40,10,184.84
Johnny Manziel,Texas A&M,295,434,3706,26,9,155.32
Robert Griffin III,Baylor,291,402,4293,37,6,189.48
Cam Newton,Auburn,185,280,2854,30,7,182.04
Sam Bradford,Oklahoma,328,483,4720,50,8,180.84
Tim Tebow,Florida,234,350,3286,32,6,172.464
Troy Smith,Ohio State,203,311,2542,30,6,161.90
Matt Leinart,USC,269,412,3322,33,6,156.54
Jason White,Oklahoma,278,451,3846,40,10,158.10
Carson Palmer,USC,309,489,3942,33,10,149.08
Eric Crouch,Nebraska,105,189,1510,7,10,124.30
Chris Weinke,Florida State,266,431,4167,33,11,163.09
Danny Wuerffel,Florida,207,360,3625,39,13,170.61
Charlie Ward,Florida State,264,380,3032,27,4,157.83
Gino Torretta,Miami (FL),228,402,3060,19,7,132.77
Ty Detmer,Brigham Young,361,562,5188,41,28,155.88
Andre Ware,Houston,365,578,4699,46,15,152.51
